Domain,Country,Element,Item,Year,Unit,Value,Flag Description
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1981,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1982,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1983,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1984,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1985,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1986,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1987,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1988,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1989,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1990,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1991,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1992,tonnes,5214,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1993,tonnes,1300,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1994,tonnes,950,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1995,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1996,tonnes,976,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1997,tonnes,1374,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1998,tonnes,416,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",1999,tonnes,1036,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2000,tonnes,2414,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2001,tonnes,16656,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2002,tonnes,12084,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2003,tonnes,38490,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2004,tonnes,26528,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2005,tonnes,14004,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2006,tonnes,2584,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2007,tonnes,3396,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2008,tonnes,3061,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2009,tonnes,2789,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2010,tonnes,5097,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2011,tonnes,9273,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2012,tonnes,6320,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Import Quantity,"Aquatic Animals, Others",2013,tonnes,6320,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1961,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1962,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1963,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1964,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1965,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1966,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1967,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1968,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1969,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1970,tonnes,12600,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1971,tonnes,14700,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1972,tonnes,15200,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1973,tonnes,8500,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1974,tonnes,13500,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1975,tonnes,11300,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1976,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1977,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1978,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1979,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1980,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1981,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1982,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1983,tonnes,0,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1984,tonnes,7056,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1985,tonnes,7298,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1986,tonnes,11356,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1987,tonnes,11484,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1988,tonnes,9152,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1989,tonnes,10608,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1990,tonnes,9864,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1991,tonnes,9689,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1992,tonnes,81918,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1993,tonnes,104780,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1994,tonnes,101333,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1995,tonnes,102000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1996,tonnes,49164,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1997,tonnes,37504,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1998,tonnes,38504,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",1999,tonnes,39022,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2000,tonnes,41972,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2001,tonnes,40912,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2002,tonnes,34984,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2003,tonnes,30408,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2004,tonnes,19726,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2005,tonnes,25465,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2006,tonnes,17633,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2007,tonnes,18119,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2008,tonnes,19645,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2009,tonnes,16353,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2010,tonnes,24754,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2011,tonnes,21489,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2012,tonnes,112800,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Export Quantity,"Aquatic Animals, Others",2013,tonnes,112800,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1961,tonnes,250000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1962,tonnes,250000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1963,tonnes,300000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1964,tonnes,400000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1965,tonnes,400000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1966,tonnes,500000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1967,tonnes,500000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1968,tonnes,500000,Standardized data
Commodity Balances - Livestock and Fish Primary Equivalent,"China, mainland",Production,Aquatic Plants,1969,tonnes,600000,Standardized data
