Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2008,2008,tonnes,22968000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2009,2009,tonnes,23311250,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2010,2010,tonnes,23483000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2011,2011,tonnes,23897000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2012,2012,tonnes,24320000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2013,2013,tonnes,24446000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2014,2014,tonnes,24598000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2015,2015,tonnes,30461000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2016,2016,tonnes,31605000,,Official data
QL,Livestock Primary,41,"China, mainland",5510,Production,1062,"Eggs, hen, in shell",2017,2017,tonnes,30963000,,Official data
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1961,1961,1000 No,30770000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1962,1962,1000 No,31180000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1963,1963,1000 No,31590000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1964,1964,1000 No,32400000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1965,1965,1000 No,32500000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1966,1966,1000 No,33500000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1967,1967,1000 No,34350000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1968,1968,1000 No,35250000,F,FAO estimate
QL,Livestock Primary,41,"China, mainland",5513,Production,1067,"Eggs, hen, in shell (number)",1969,1969,1000 No,35600000,F,FAO estimate
