AreaName,Year,Stock_largeAni,Stock_cattle,Stock_horse,Stock_donkey,Stock_mule,Stock_camel,Out_hog,Stock_hog,Stock_gt_shp,Stock_goat,Stock_sheep,Out_cattle,Out_gt_shp,Out_poultry,MeatYield,MeatYield_hg_ct_gt_shp,MeatYield_hog,MeatYield_cattle,MeatYield_gt_shp,MilkYield,MilkYield_cattle,WoolYield_sheep,WoolYield_sheep_fine,WoolYield_sheep_semi,WoolYield_goat_thick,WoolYield_goat_cashmere,EggYield,HoneyYield
Jilin,1998,494.8,386.0,71.7,17.1,20.1,0.0,1166.4,855.0,324.1,51.3,272.8,,,,223.7,148.1,117.2,28.3,2.6,13.4,12.4,19220.0,17014.0,1936.0,206.0,25.0,73.1,0.4
Heilongjiang,1998,549.5,456.6,77.8,8.9,6.3,0.0,1063.1,958.1,462.8,121.5,341.3,,,,142.7,112.2,83.5,25.7,3.0,144.5,142.1,12921.0,3956.0,8965.0,91.0,19.0,71.2,0.3
Shanghai,1998,6.2,6.2,0.0,0.0,0.0,0.0,460.0,242.8,56.5,45.6,10.9,,,,58.6,26.1,25.3,0.1,0.7,24.6,24.6,66.0,0.0,13.0,84.0,0.0,13.4,0.0
Jiangsu,1998,84.7,70.8,0.9,11.8,1.3,0.0,2531.2,1961.9,904.9,860.8,34.1,,,,296.8,210.2,190.8,5.7,13.8,9.1,12.1,1116.0,1016.0,54.0,0.0,1.0,157.1,1.6
Zhejiang,1998,43.5,43.5,0.0,0.0,0.0,0.0,1271.8,1040.6,207.6,101.2,106.4,,,,104.0,84.5,81.4,0.9,2.2,8.0,8.0,2194.0,2194.0,0.0,0.0,0.0,31.7,5.4
Anhui,1998,637.9,627.0,2.6,6.6,1.8,0.0,2239.6,1809.1,671.1,668.3,2.8,,,,288.0,229.4,183.7,34.3,11.5,3.0,3.0,198.0,8.0,146.0,123.0,21.0,94.7,0.7
Fujian,1998,117.2,117.1,0.1,0.0,0.0,0.0,1365.1,1024.2,91.3,91.3,0.0,,,,135.2,110.5,107.3,2.0,1.1,6.7,6.4,0.0,0.0,0.0,3.0,0.0,36.7,0.5
Jiangxi,1998,391.7,391.7,0.0,0.0,0.0,0.0,2271.1,1799.6,72.9,72.9,0.0,,,,214.7,184.3,176.9,6.7,0.8,4.7,4.7,0.0,0.0,0.0,8.0,0.0,33.7,0.6
Shandong,1998,1048.6,911.8,19.5,98.5,18.9,0.0,3123.2,2485.9,2322.0,1834.6,487.4,,,,497.9,347.5,266.6,60.1,20.9,54.0,27.5,15615.0,3303.0,8627.0,7818.0,979.0,322.0,0.8
Henan,1998,1416.8,1300.6,31.9,55.0,29.4,0.0,3592.9,3439.7,2553.1,2365.1,188.0,,,,461.6,402.6,297.9,76.7,28.0,12.3,7.8,5855.0,1810.0,2861.0,3072.0,125.0,229.3,1.5
Hubei,1998,442.6,439.0,2.1,1.1,0.3,0.0,2492.1,1843.9,144.1,143.1,1.1,,,,261.0,218.1,202.9,13.2,2.1,4.2,4.2,76.0,42.0,33.0,47.0,0.0,121.6,1.0
Hunan,1998,493.4,489.0,4.0,0.3,0.1,0.0,5467.3,3492.2,336.6,336.1,0.6,,,,422.5,381.8,365.0,11.7,5.1,0.8,0.8,8.0,0.0,0.0,17.0,0.0,47.3,0.5
Guangdong,1998,416.4,416.3,0.1,0.0,0.0,0.0,2425.8,1768.7,28.1,28.1,0.0,,,,297.2,192.8,189.3,3.1,0.5,7.5,7.0,0.0,0.0,0.0,0.0,0.0,29.6,1.0
Guangxi,1998,786.3,748.2,35.7,0.5,1.9,0.0,2424.5,2085.2,239.2,239.2,0.0,,,,250.8,205.6,194.0,9.5,2.1,1.2,1.2,0.0,0.0,0.0,0.0,0.0,16.2,0.5
Hainan,1998,127.2,127.2,0.0,0.0,0.0,0.0,234.7,256.5,72.8,72.8,0.0,,,,31.0,22.5,19.9,1.8,0.8,0.1,0.1,0.0,0.0,0.0,0.0,0.0,1.4,0.0
Chongqing,1998,152.5,149.2,2.0,0.2,1.1,0.0,1720.1,1493.0,129.6,129.3,0.3,,,,140.1,126.6,121.6,3.5,1.5,4.7,4.7,14.0,14.0,0.0,0.0,0.0,24.5,0.4
Sichuan,1998,1035.2,955.1,66.7,7.0,6.6,0.0,5589.8,4793.9,1112.2,723.0,380.3,,,,491.8,421.0,390.4,20.0,10.7,27.3,26.7,3760.0,296.0,1131.0,412.0,39.0,80.4,2.1
Guizhou,1998,700.2,630.2,68.3,0.1,1.6,0.0,1073.8,1593.2,320.5,301.1,19.4,,,,113.3,106.9,97.6,5.9,3.4,0.6,0.6,255.0,32.0,198.0,8.0,0.0,5.8,0.1
Yunnan,1998,957.5,773.2,86.4,32.9,58.4,0.0,1926.0,2507.9,801.4,705.0,96.5,,,,177.0,166.2,150.5,10.7,5.1,9.9,9.9,1389.0,209.0,906.0,94.0,0.0,8.7,0.6
Tibet,1998,559.5,508.6,36.4,13.3,1.2,0.0,12.6,21.3,1671.0,575.2,1095.7,,,,14.1,14.1,0.7,7.8,5.6,19.6,15.6,8291.0,136.0,2633.0,1060.0,606.0,0.2,0.0
Shaanxi,1998,288.0,239.4,1.9,33.2,13.5,0.0,794.5,731.6,692.1,548.2,143.9,,,,84.6,76.5,64.9,6.5,5.1,50.6,28.2,4179.0,2844.0,331.0,1371.0,761.0,39.9,0.3
Gansu,1998,545.0,330.1,25.0,122.6,65.2,2.1,524.0,567.1,1118.6,279.8,838.9,,,,55.6,51.6,38.0,6.9,6.8,14.1,13.8,15413.0,5481.0,1929.0,1366.0,348.0,9.5,0.2
Qinghai,1998,451.7,394.3,36.9,8.7,10.1,1.7,107.8,113.3,1638.9,260.1,1378.8,,,,20.5,20.1,6.8,6.9,6.4,20.5,19.9,15904.0,299.0,4892.0,559.0,221.0,1.4,0.0
Ningxia,1998,88.0,52.8,1.1,21.8,12.1,0.1,114.2,121.1,358.9,115.3,243.6,,,,15.6,13.3,8.2,2.6,2.4,18.2,18.2,4100.0,152.0,290.0,491.0,273.0,6.5,0.1
Xinjiang,1998,606.8,364.3,100.3,123.5,2.8,16.0,197.4,169.8,3447.4,528.1,2919.3,,,,75.2,65.3,13.6,19.2,32.5,65.0,60.0,62147.0,29199.0,0.0,2674.0,811.0,13.3,0.2
Beijing,1999,18.9,13.6,0.7,2.9,1.7,0.0,400.9,248.3,103.1,47.9,55.2,13.5,88.2,10850.3,49.3,32.3,28.6,2.4,1.3,24.1,24.0,519.0,3.0,30.0,219.0,56.0,15.8,0.2
Tianjin,1999,30.6,18.8,1.2,7.9,2.7,0.0,198.4,127.0,56.9,18.3,38.5,17.68,81.32,2870.27,23.5,18.8,14.6,2.5,1.7,12.9,12.9,1006.0,23.0,14.0,57.0,1.0,25.1,0.0
Hebei,1999,962.6,693.9,48.2,153.6,66.8,0.0,3000.2,2372.8,2063.5,1014.5,1049.1,406.61,1781.38,50539.07,393.9,311.7,226.5,61.9,23.4,78.8,68.4,25715.0,5801.0,8348.0,6088.0,1027.0,338.6,1.0
Shanxi,1999,311.0,224.9,5.8,37.6,42.7,0.0,570.2,502.2,1016.0,466.1,549.9,52.0,446.79,2926.02,62.3,57.2,43.8,7.0,6.4,32.7,30.2,6787.0,1443.0,660.0,1649.0,572.0,37.8,0.3
Inner Mongolia,1999,667.4,379.7,122.3,89.1,63.5,12.8,869.1,777.6,3702.6,1315.9,2386.7,129.1,1948.39,4411.31,140.6,128.1,80.5,17.8,29.8,71.2,67.9,65956.0,37073.0,14547.0,3457.0,3825.0,23.5,0.1
Liaoning,1999,399.8,228.1,39.9,95.8,35.9,0.0,1320.3,1123.4,347.9,159.3,188.5,161.99,211.72,37864.23,224.7,148.4,121.7,23.8,2.8,20.3,18.2,7909.0,4201.0,3436.0,908.0,322.0,134.4,0.3
Jilin,1999,522.1,413.1,72.3,16.3,20.4,0.0,1235.0,877.6,342.2,51.8,290.4,254.25,241.52,39687.2,236.4,156.0,121.7,31.3,2.9,14.5,13.8,19403.0,17041.0,2260.0,192.0,35.0,77.7,0.5
Heilongjiang,1999,549.0,458.2,76.6,8.3,5.9,0.0,1123.2,1014.4,481.1,120.2,360.9,184.53,221.56,15783.22,150.9,119.5,89.0,27.3,3.2,145.0,142.8,12793.0,3548.0,9245.0,108.0,17.0,74.9,0.3
Shanghai,1999,6.0,6.0,0.0,0.0,0.0,0.0,470.6,240.6,52.3,44.0,8.2,0.25,58.05,15841.27,54.1,26.6,25.9,0.1,0.7,25.9,25.9,78.0,0.0,21.0,93.0,0.0,16.2,0.0
Jiangsu,1999,75.4,63.7,0.7,9.7,1.2,0.0,2647.9,1917.6,927.5,897.5,30.0,28.02,1206.29,51945.29,306.9,215.3,196.2,5.2,13.9,16.3,16.2,1261.0,965.0,49.0,45.0,1.0,168.2,0.7
Zhejiang,1999,40.6,40.6,0.0,0.0,0.0,0.0,1289.9,1024.4,219.0,104.1,114.8,7.01,145.58,15518.57,107.5,85.9,82.6,0.9,2.4,9.1,9.1,2045.0,2045.0,0.0,0.0,0.0,34.7,7.0
Anhui,1999,604.3,595.2,2.3,5.3,1.6,0.0,2316.1,1773.3,718.2,716.0,2.3,245.85,857.38,42030.29,298.6,235.2,192.5,32.6,10.1,3.6,3.6,199.0,15.0,174.0,55.0,0.0,102.4,0.9
Fujian,1999,114.7,114.6,0.1,0.0,0.0,0.0,1453.4,1049.6,93.8,93.8,0.0,20.76,87.39,19146.6,138.8,113.3,110.0,2.0,1.2,8.0,7.7,0.0,0.0,0.0,0.0,0.0,39.2,0.5
Jiangxi,1999,374.7,374.7,0.0,0.0,0.0,0.0,2064.0,1554.3,79.2,79.2,0.0,56.63,58.69,25574.17,198.3,166.3,160.2,5.2,0.8,5.2,5.2,0.0,0.0,0.0,4.0,0.0,33.7,0.7
Shandong,1999,1112.6,977.3,20.2,96.9,18.3,0.0,3248.1,2560.5,2536.2,1989.8,546.4,391.1,2838.8,100246.0,524.5,361.3,272.5,65.5,23.3,61.3,35.6,16458.0,3567.0,9145.0,8271.0,981.0,349.1,0.9
Henan,1999,1448.4,1341.0,28.3,51.0,28.2,0.0,3880.3,3556.4,2786.3,2574.5,211.8,573.46,2665.33,39883.92,485.1,426.1,314.0,82.2,30.0,15.9,10.3,6871.0,1321.0,4581.0,2360.0,184.0,251.8,1.6
