Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2003,2003,tonnes,16956,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2004,2004,tonnes,13837,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2005,2005,tonnes,13733,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2006,2006,tonnes,9153,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2007,2007,tonnes,16356,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2008,2008,tonnes,15687,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2009,2009,tonnes,10570,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2010,2010,tonnes,10014,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2011,2011,tonnes,8456,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2012,2012,tonnes,8922,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5910,Export Quantity,2747,Silk,2013,2013,tonnes,8167,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1961,1961,tonnes,212505,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1962,1962,tonnes,217162,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1963,1963,tonnes,222570,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1964,1964,tonnes,227175,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1965,1965,tonnes,231938,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1966,1966,tonnes,240345,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1967,1967,tonnes,241950,S,Standardized data
BL,Commodity Balances - Livestock and Fish Primary Equivalent,41,"China, mainland",5510,Production,2742,Whey,1968,1968,tonnes,192555,S,Standardized data
