Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1989,1989,g/capita/day,0.07,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1990,1990,g/capita/day,0.08,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1991,1991,g/capita/day,0.21,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1992,1992,g/capita/day,0.37,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1993,1993,g/capita/day,0.1,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1994,1994,g/capita/day,0.1,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1995,1995,g/capita/day,0.25,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1996,1996,g/capita/day,0.56,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1997,1997,g/capita/day,0.86,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1998,1998,g/capita/day,0.97,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",1999,1999,g/capita/day,0.87,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2000,2000,g/capita/day,0.77,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2001,2001,g/capita/day,0.83,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2002,2002,g/capita/day,0.78,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2003,2003,g/capita/day,1.27,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2004,2004,g/capita/day,1.17,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2005,2005,g/capita/day,1.38,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2006,2006,g/capita/day,1.27,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2007,2007,g/capita/day,1.49,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2008,2008,g/capita/day,1.72,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2009,2009,g/capita/day,1.87,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2010,2010,g/capita/day,2,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2011,2011,g/capita/day,1.87,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2012,2012,g/capita/day,1.87,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",646,Food supply quantity (g/capita/day),2769,"Aquatic Animals, Others",2013,2013,g/capita/day,1.86,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1961,1961,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1962,1962,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1963,1963,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1964,1964,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1965,1965,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1966,1966,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1967,1967,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1968,1968,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1969,1969,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1970,1970,kg,0.05,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1971,1971,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1972,1972,kg,0,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1973,1973,kg,0.06,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1974,1974,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1975,1975,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1976,1976,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1977,1977,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1978,1978,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1979,1979,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1980,1980,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1981,1981,kg,0.02,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1982,1982,kg,0.02,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1983,1983,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1984,1984,kg,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1985,1985,kg,0.05,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1986,1986,kg,0.01,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1987,1987,kg,0.05,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1988,1988,kg,0.02,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1989,1989,kg,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1990,1990,kg,0.03,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1991,1991,kg,0.08,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1992,1992,kg,0.13,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1993,1993,kg,0.04,Fc,Calculated data
CL,Food Supply - Livestock and Fish Primary Equivalent,41,"China, mainland",645,Food supply quantity (kg/capita/yr),2769,"Aquatic Animals, Others",1994,1994,kg,0.04,Fc,Calculated data
