Area,Year,"Stock, cattle","Stock, goat & sheep","Stock, pig","Stock, birds","Slaughtered, cattle","Slaughtered, goat & sheep","Slaughtered, pig","Slaughtered, birds","Meat Production, cattle","Meat Production, goat & sheep","Meat Production, pig","Meat Production, birds","Egg Production, birds","Milk Production, cow","Meat Yield, cattle","Meat Yield, goat & sheep","Meat Yield, pig","Meat Yield, birds","Aquatic, total","Aquatic, animals","Marine, total","Marine, caught","Marine, farmed",Marine Fish,Marine Crustaceans,Marine Molluscs,Marine Plants,"Marine, others","Freshwater, total","Freshwater, caught","Freshwater, farmed",Freshwater Fish,Freshwater Crustaceans,Freshwater Molluscs,"Freshwater, others"
Anhui,2011,147.23,591.6,1467.311,,120.35,988.48,2721.0890000000004,67795.45,17.82,14.1794,233.071,,119.6541,22.5131,,,,,199.5505,199.5505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.5505,31.929000000000002,167.6215,157.3976,29.9093,8.6258,3.6178
Fujian,2011,69.7694,107.5822,1297.79744,,23.29,138.47,1950.43,21765.01,2.3513,1.8979,146.60263,,25.22150441,15.468,,,,,603.7385,540.7170000000001,526.1619,210.013,316.1489,182.1687,40.4439,227.6548,63.0215,12.873,77.5766,8.4782,69.0984,65.3095,5.808,4.7801,1.679
Jiangxi,2011,281.4,53.9,1570.5,,125.9,70.5,2884.8,41416.8,11.7,1.09,224.1,,44.5,11.8,,,,,217.27,217.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.27,24.4298,192.8402,191.9608,13.8138,6.8926,4.6028
Shandong,2011,492.86098110000006,2150.9,2837.133,,433.39,2901.22,4234.2444,173298.59,66.23,32.4864,346.9,,401.187,268.86688,,,,,813.828,762.8874999999998,664.7212,251.2437,413.4775,191.0047,38.5821,343.1311,50.9405,41.0628,149.1068,13.5378,135.569,137.553,10.1623,0.897,0.4945
Henan,2011,955.0,1865.0,4569.0,,545.0,2050.0,5361.2,88850.0,82.0,24.8,406.4,,390.5,306.6,,,,,65.473,65.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.473,3.8357,61.6373,63.2162,1.6815,0.1659,0.4094
Hubei,2011,320.5,421.98,2533.05,,126.36,501.94,3871.39,45885.14,18.171,8.02298,290.54,,137.03,14.22,,,,,356.2198,356.2198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,356.2198,20.5971,335.6227,308.6791,40.0251,4.1184,3.3972
Hunan,2011,425.6,512.6,4158.2,,141.5,633.1,5575.9,39264.2,16.2,10.23,406.1,,93.5,8.1,,,,,199.9353,199.9353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.9353,9.6375,190.2978,192.2627,2.8977,2.1228,2.6521
Guangdong,2011,233.82,40.56,2300.5984,,55.94,50.79,3664.101733,111843.1,6.5587,0.925,270.9652837,,34.8433,14.2289,,,,,762.5332,755.3679,418.2257,152.6511,265.5746,147.7793,60.1891,190.5124,7.1653,12.5796,344.3075,12.8402,331.4673,302.672,30.0686,6.4733,5.0936
Guangxi,2011,441.7,198.235,2411.976,,150.4,204.96,3195.116,79169.8,14.267,3.2119,239.7868365,,20.995,8.88306,,,,,289.2338,289.2338,159.3225,66.9421,92.3804,43.1402,31.134,74.9572,0.0,10.0911,129.9113,12.3259,117.5854,124.6495,1.3721,1.6723,2.2174
Hainan,2011,90.515466,70.052848,416.49,,25.64,83.43,513.736,13763.24,2.354,1.11148,42.2,,3.32395,0.19,,,,,160.2445,157.1049,124.042,105.03,19.012,94.1309,14.9332,4.8662,3.1396,6.9721,36.2025,2.1015,34.101,34.9248,0.2192,0.183,0.8755
Chongqing,2011,124.53,176.73,1540.57,,51.85,202.64,2020.87,20863.42,6.65,2.61,148.55,,37.42,8.0,,,,,27.56,27.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.56,1.2955,26.2645,27.3217,0.1553,0.0,0.052000000000000005
Sichuan,2011,968.2576,1661.7168,5101.7947,,251.06,1550.8,7002.6,57943.55,28.9294,23.9,484.8,,144.846,71.20337468,,,,,112.1464,112.1464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112.1464,5.9191,106.2273,110.4106,0.7567,0.406,0.5731
Guizhou,2011,467.11,256.49,1521.6,,97.21,197.31,1689.66,8878.57,12.0,3.37,148.29,,13.65,4.85,,,,,10.8802,10.8802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8802,1.3698,9.5104,10.663,0.1714,0.0,0.0
Yunnan,2011,745.67,900.89,2689.82,,273.33,735.46,2964.72,19526.25,30.691,13.03,243.86,,21.65,52.39,,,,,34.24,34.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.24,2.4117,31.8283,33.7724,0.318,0.0838,0.0658
Xizang,2011,614.9,1646.0805,32.3,,127.5,535.8,16.4,120.5,14.774579999999998,8.63,1.36,,0.3329,23.8,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shaanxi,2011,150.1,643.0,880.0,,50.5,434.2,1063.7,4207.25,7.39,6.7,77.3,,50.3,140.5,,,,,8.18,8.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.18,0.7088,7.4712,8.0684,0.0,0.0,0.0879
Gansu,2011,433.88,1757.12,560.3,,157.66,968.98,633.11,3412.33,16.14,15.43,45.81,,14.2,37.01,,,,,1.2879,1.2879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2879,0.0,1.2879,1.2829,0.0,0.0,0.0
Qinghai,2011,442.4,1497.54,115.2,,95.02,588.73,130.17,372.36,8.7,9.94,9.16,,1.76,26.96,,,,,0.3293,0.3293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3293,0.0,0.32299999999999995,0.3153,0.0,0.0,0.0
Ningxia,2011,91.76,479.45,68.31,,52.03,443.87,99.68,1147.98,7.48,7.85,7.32,,7.29,96.0,,,,,10.5422,10.5422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.5422,0.0,10.5222,10.4278,0.1144,0.0,0.0
Xinjiang,2011,318.2,3016.4053,158.2,,203.87,2913.83,256.1,5283.25,33.7606,46.43595,22.5,,25.60504011,130.5,,,,,11.1564,11.1564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1564,1.3501,9.8063,10.859000000000002,0.0726,0.0,0.22399999999999998
Beijing,2012,21.36,58.07,187.39,,11.88,71.8,306.11,10089.37,2.17,1.21,23.94,,15.24,65.05,,,,,6.3842,6.3842,0.958,0.958,0.0,0.958,0.0,0.0,0.0,0.0,5.4262,0.3822,5.044,5.4012,0.0,0.0,0.0
Tianjin,2012,29.14,41.39,193.74638,,19.02,65.01,374.21,8009.45,3.26,1.47,29.2,,18.66,67.87,,,,,36.5042,36.5042,4.1594,2.7309,1.4285,2.4771,1.3264,0.2415,0.0,0.1144,32.3448,1.1467,31.1981,26.0195,5.9910000000000005,0.0976,0.2367
